許可證號碼,普通名稱,廠牌名稱,劑型,含量,Under Permit ,混合,廠商名稱,國外原製造廠,有效日期,備註,標示,條碼,使用範圍
農藥原進            00466,二、四－地,,,97(%) (w/w),,,松樹國際有限公司,KR LIFESCIENCES PRIVATE LIMITED,114-09-11,,標示,條碼,使用範圍
農藥原進            00478,二、四－地,,,97(%) (w/w),UP,,東鋒股份有限公司,KRISHI RASAYAN (BIHAR),114-11-25,,標示,條碼,使用範圍
農藥原進            00485,賓克隆,,,95(%) (w/w),,,威群國際有限公司,BAYER AG,115-02-20,,標示,條碼,使用範圍
農藥原進            00488,庫斯蘇力菌ABTS-351,大寶,,"91% (70,000 IU/mg)",,,台灣住友化學股份有限公司,VALENT BIOSCIENCES LLC,115-05-23,,標示,條碼,使用範圍
農藥原進            00489,亞培松,,,90(%) (w/w),,,臺聯實業股份有限公司,GHARDA CHEMICALS LIMITED,115-05-30,,標示,條碼,使用範圍
農藥原進            00490,亞滅寧,,,95(%) (w/w),,,臺聯實業股份有限公司,GHARDA CHEMICALS LIMITED,115-07-10,,標示,條碼,使用範圍
農藥原進            00499,腈硫醌,,,95(%) (w/w),,,台灣巴斯夫股份有限公司,ADAMA HUIFENG(JIANGSU) LTD.,115-09-02,,標示,條碼,使用範圍
農藥原進            00501,甲基鋅乃浦,安收多,,80(%) (w/w),,,台灣拜耳股份有限公司,BAYER AG,115-10-10,,標示,條碼,使用範圍
農藥原進            00503,納乃得,,,97(%) (w/w),UP,,正農化學股份有限公司,"XI’AN MTI CO., LTD.",115-10-18,,標示,條碼,使用範圍
農藥原進            00507,三賽唑,益友,,95(%) (w/w),,,台灣道禮股份有限公司,NACL INDUSTRIES LIMITED,116-11-18,,標示,條碼,使用範圍
農藥原進            00511,嘉磷塞異丙胺鹽,,,62(%) (w/w),UP,,翰金興業有限公司,SUMITOMO CHEMICAL INDIA LIMITED,115-12-13,,標示,條碼,使用範圍
農藥原進            00530,快伏草,,,95(%) (w/w),,,台灣日產化工股份有限公司,NISSAN CHEMICAL CORPORATION,117-12-10,,標示,條碼,使用範圍
農藥原進            00531,殺紋寧,,,99(%) (w/w),,,大勝化學工業股份有限公司,"NIPPON CHEMICAL INDUSTRIAL CO., LTD. FUKUSHIMA FACTORY",117-12-10,,標示,條碼,使用範圍
農藥原進            00534,固殺草,,,50(%) (w/w),,,台灣巴斯夫股份有限公司,BASF AGRICULTURAL SOLUTIONS GMBH,118-02-04,,標示,條碼,使用範圍
農藥原進            00541,賓克隆,金星賓克隆,,90(%) (w/w),UP,,雅飛有限公司,"LG CHEM, LTD.",119-01-20,,標示,條碼,使用範圍
農藥原進            00542,福賽絕,福氣多,,93(%) (w/w),UP,,台灣石原產業股份有限公司,SAJJAN INDIA LIMITED,119-02-06,,標示,條碼,使用範圍
農藥原進            00545,普拔克,,,70(%) (w/w),,,台灣拜耳股份有限公司,BAYER AG,114-07-21,,標示,條碼,使用範圍
農藥原進            00546,庫斯蘇力菌SA-12,速利殺,,"100% (35,300 IU/mg)",,,安農股份有限公司,CERTIS USA L.L.C.,114-08-16,,標示,條碼,使用範圍
農藥原進            00552,益達胺,鐵沙掌,,95(%) (w/w),,,台灣拜耳股份有限公司,BAYER AG,115-01-15,,標示,條碼,使用範圍
農藥原進            00555,富米綜,,,95(%) (w/w),,,台灣住友化學股份有限公司,"SUMITOMO CHEMICAL CO., LTD. OITA WORKS",119-03-30,,標示,條碼,使用範圍
農藥原進            00558,待克利,,,94(%) (w/w),UP,,台灣先正達股份有限公司,SYNGENTA CROP PROTECTION MONTHEY S.A.,115-05-05,,標示,條碼,使用範圍
農藥原進            00559,平克座,,,95(%) (w/w),UP,,台灣先正達股份有限公司,"NIPPON KAYAKU CO., LTD. KASHIMA PLANT",116-05-05,,標示,條碼,使用範圍
農藥原進            00563,貝他-賽扶寧,拜勝格,,97.5(%) (w/w),,,台灣拜耳股份有限公司,BAYER VAPI PRIVATE LIMITED,116-08-14,,標示,條碼,使用範圍
農藥原進            00564,依速隆,,,97(%) (w/w),UP,,台灣住友化學股份有限公司,"SUMITOMO CHEMICAL CO., LTD. OITA WORKS",116-11-13,,標示,條碼,使用範圍
農藥原進            00565,普克利,,,93(%) (w/w),UP,,台灣先正達股份有限公司,SYNGENTA CROP PROTECTION MONTHEY S.A.,117-01-11,,標示,條碼,使用範圍
農藥原進            00571,嘉磷塞異丙胺鹽,,,62(%) (w/w),,,台灣拜耳股份有限公司,MONSANTO (MALAYSIA) SDN. BHD.,117-03-14,,標示,條碼,使用範圍
農藥原進            00574,滅達樂,,,90(%) (w/w),UP,,翰金興業有限公司,RALLIS INDIA LIMITED,117-04-24,,標示,條碼,使用範圍
農藥原進            00575,派滅淨,,,98(%) (w/w),UP,,台灣先正達股份有限公司,"SHENYANG SCIENCREAT CHEMICALS CO., LTD.",117-05-14,,標示,條碼,使用範圍
農藥原進            00576,汰芬隆,,,95(%) (w/w),UP,,台灣先正達股份有限公司,JIANGSU CHANGQING AGROCHEMICAL CO. LTD,117-05-14,,標示,條碼,使用範圍
農藥原進            00587,草殺淨,,,95(%) (w/w),,,正農化學股份有限公司,"JILIN CITY GREEN WORLD AGROCHEMICAL CO., LTD.",117-12-26,,標示,條碼,使用範圍
農藥原進            00592,芬化利,,,90(%) (w/w),UP,,翰金興業有限公司,RALLIS INDIA LIMITED,118-04-27,,標示,條碼,使用範圍
農藥原進            00593,氫氧化銅,,,95(%) (w/w),,,安農股份有限公司,COSACO GMBH,118-04-28,,標示,條碼,使用範圍
農藥原進            00600,馬拉松,,,95(%) (w/w),,,安農股份有限公司,COROMANDEL INTERNATIONAL LIMITED,118-09-01,,標示,條碼,使用範圍
農藥原進            00602,亞滅寧,,,95(%) (w/w),,,貝士得開發企業有限公司,BAYER VAPI PRIVATE LIMITED,118-11-12,,標示,條碼,使用範圍
農藥原進            00604,扶吉胺,福農帥,,94.5(%) (w/w),,,台灣石原產業股份有限公司,UNION CHEMICAL CO. IKUSAN FACTORY,118-12-29,,標示,條碼,使用範圍
農藥原進            00605,氟氯比,進寶,,95(%) (w/w),,,台灣道禮股份有限公司,CORTEVA AGRISCIENCE FRANCE S.A.S.,118-12-29,,標示,條碼,使用範圍
農藥原進            00609,百滅寧,貝士得百滅寧,,92(%) (w/w),,,貝士得開發企業有限公司,BAYER VAPI PRIVATE LIMITED,119-04-12,,標示,條碼,使用範圍
農藥原進            00611,易胺座,,,97.5(%) (w/w),,,大勝化學工業股份有限公司,"HOKKO CHEMICAL INDUSTRY CO., LTD. OKAYAMA FACTORY",114-05-10,,標示,條碼,使用範圍
農藥原進            00612,伏滅鼠,,,0.5(%) (w/w),,,國寶國際有限公司,"KUKBO SCIENCE CO., LTD.",114-05-10,,標示,條碼,使用範圍
農藥原進            00614,芬殺蟎,蟎尚驚,,97.5(%) (w/w),,,威群國際有限公司,Aurorium UK LTD.,119-07-03,,標示,條碼,使用範圍
農藥原進            00619,賽滅寧,,,92(%) (w/w),,,興農股份有限公司,BAYER VAPI PRIVATE LIMITED,114-10-06,,標示,條碼,使用範圍
農藥原進            00620,菲克利,,,92(%) (w/w),UP,,翰金興業有限公司,RALLIS INDIA LIMITED,114-11-01,,標示,條碼,使用範圍
農藥原進            00622,錳乃浦,,,91(%) (w/w),,,安農股份有限公司,UPL LIMITED,114-12-16,,標示,條碼,使用範圍
農藥原進            00623,鋅錳乃浦,,,88(%) (w/w),,,安農股份有限公司,UPL LIMITED,114-12-16,,標示,條碼,使用範圍
農藥原進            00624,普拉草,,,95(%) (w/w),UP,,台灣先正達股份有限公司,Hangzhou Nutrichem Company Limited,115-01-11,,標示,條碼,使用範圍
農藥原進            00625,芬滅松,,,94(%) (w/w),UP,,達通國際興業有限公司,"FARMHANNONG CO., LTD.",115-01-12,,標示,條碼,使用範圍
農藥原進            00626,百滅寧,,,92(%) (w/w),,,聯合農化股份有限公司,UPL LIMITED,115-01-14,,標示,條碼,使用範圍
農藥原進            00628,丁基加保扶,,,90(%) (w/w),UP,,台灣富美實有限公司,"JIANGSU LANFENG BIOCHEMICAL CO., LTD.",115-01-31,,標示,條碼,使用範圍
農藥原進            00631,亞滅培,莫氏比,,98(%) (w/w),,,臺灣庵原農藥股份有限公司,"NIPPON SODA CO., LTD. NIHONGI PLANT",115-02-19,,標示,條碼,使用範圍
農藥原進            00633,伏速隆,芝草原,,94(%) (w/w),,,台灣石原產業股份有限公司,"ISHIHARA SANGYO KAISHA, LTD. YOKKAICHI PLANT",115-03-08,,標示,條碼,使用範圍
農藥原進            00634,腐絕,,,98.5(%) (w/w),UP,,台灣先正達股份有限公司,HIKAL LIMITED,115-03-17,,標示,條碼,使用範圍
農藥原進            00635,祿芬隆,,,98(%) (w/w),UP,,台灣先正達股份有限公司,SHANGYU NUTRICHEM CO. LTD.,115-04-11,,標示,條碼,使用範圍
農藥原進            00636,滅落脫,,,90(%) (w/w),,,聯合農化股份有限公司,UPL LIMITED,115-04-18,,標示,條碼,使用範圍
農藥原進            00640,培丹,,,95(%) (w/w),,,大勝化學工業股份有限公司,SUNDAT (S) PTE LTD.,115-10-29,,標示,條碼,使用範圍
農藥原進            00643,甲基合氯氟,新招福,,94(%) (w/w),,,台灣道禮股份有限公司,CORTEVA AGRISCIENCE FRANCE S.A.S.,117-03-21,,標示,條碼,使用範圍
農藥原進            00644,滅多松,,,50(%) (w/w),,,聯合農化股份有限公司,UPL LIMITED,117-03-26,,標示,條碼,使用範圍
農藥原進            00647,氟硫滅,,,50(%) (w/w),,,惠光股份有限公司,"MC Crop & Life Manufacturing Co., Ltd. Shinshiro Factory",117-06-06,,標示,條碼,使用範圍
